,year,Month,Avg_viewers
0,2016,1,646355
1,2016,2,635769
2,2016,3,660389
3,2016,4,525696
4,2016,5,605432
5,2016,6,620903
6,2016,7,600715
7,2016,8,514289
8,2016,9,504635
9,2016,10,609737
10,2016,11,625435
11,2016,12,660140
12,2017,1,809220
13,2017,2,746545
14,2017,3,695020
15,2017,4,744688
16,2017,5,682271
17,2017,6,710476
18,2017,7,762986
19,2017,8,717968
20,2017,9,733784
21,2017,10,787587
22,2017,11,800488
23,2017,12,771382
24,2018,1,969340
25,2018,2,917601
26,2018,3,970850
27,2018,4,1014361
28,2018,5,1025810
29,2018,6,1097447
30,2018,7,1071659
31,2018,8,1151898
32,2018,9,1133603
33,2018,10,1147678
34,2018,11,1203936
35,2018,12,1138586
36,2019,1,1277322
37,2019,2,1313721
38,2019,3,1275549
39,2019,4,1235502
40,2019,5,1264495
41,2019,6,1306156
42,2019,7,1233771
43,2019,8,1344787
44,2019,9,1221256
45,2019,10,1211755
46,2019,11,1222750
47,2019,12,1186403
48,2020,1,1359367
49,2020,2,1412593
50,2020,3,1639798
51,2020,4,2492780
52,2020,5,2363069
53,2020,6,2266040
54,2020,7,2116548
55,2020,8,2181268
56,2020,9,2205161
57,2020,10,2387813
58,2020,11,2488505
59,2020,12,2526674
60,2021,1,2925698
61,2021,2,2950196
62,2021,3,2925698
63,2021,4,2925698
64,2021,5,3106723
65,2021,6,2731057
66,2021,7,2629745
67,2021,8,2657585
68,2021,9,2583469
69,2021,10,2718974
